,Year,#,Team,Pts,Opp.Pts,Margin,Pace,Off. Eff,Def. Eff,Net Rtg.,EFg%,Opp. EFg%,Ts%,Opp. Ts%,Reb. %,Eff.,Opp. Eff.,Win,Loss
0,2019,1,Atlanta Hawks,112.93,119.21,-6.28,103.46,108.34,114.73,-6.4,0.521,0.541,0.555,0.58,50.07,125.25,138.43,28.0,53.0
1,2019,2,Brooklyn Nets,112.24,112.32,-0.07,100.3,110.23,110.23,-0.01,0.52,0.512,0.556,0.5479999999999999,50.18,122.98,127.0,42.0,40.0
2,2019,3,Boston Celtics,112.39,107.95,4.44,98.97,112.98,108.22,4.77,0.534,0.514,0.5670000000000001,0.55,49.25,132.42,119.59,49.0,33.0
3,2019,4,Charlotte Hornets,110.74,111.84,-1.1,97.84,112.33,113.52,-1.18,0.514,0.5379999999999999,0.5539999999999999,0.57,48.91,124.0,131.99,39.0,43.0
4,2019,5,Chicago Bulls,104.94,113.35,-8.42,98.22,105.64,114.32,-8.68,0.505,0.541,0.541,0.573,48.03,115.37,133.38,22.0,60.0
5,2019,6,Cleveland Cavaliers,104.48,114.09,-9.61,96.02,108.39,118.4,-10.02,0.503,0.564,0.54,0.593,49.16,111.07,135.65,19.0,63.0
6,2019,7,Dallas Mavericks,108.72,109.96,-1.25,98.33,109.99,111.44,-1.44,0.517,0.521,0.5539999999999999,0.556,50.26,119.91,125.95,33.0,48.0
7,2019,8,Denver Nuggets,110.86,106.9,3.96,97.1,113.89,109.94,3.95,0.528,0.522,0.5579999999999999,0.557,52.23,130.79,121.17,53.0,28.0
8,2019,9,Detroit Pistons,107.24,107.44,-0.21,96.56,110.06,110.19,-0.13,0.51,0.527,0.545,0.563,50.75,117.53,122.3,41.0,40.0
9,2019,10,Golden State Warriors,117.68,111.22,6.46,100.25,116.65,109.87,6.78,0.564,0.508,0.596,0.546,51.04,143.79,121.99,57.0,25.0
10,2019,11,Houston Rockets,113.92,109.15,4.77,96.04,117.72,112.95,4.77,0.542,0.525,0.581,0.562,48.08,124.81,123.77,53.0,29.0
11,2019,12,Indiana Pacers,108.01,104.68,3.33,97.24,110.93,107.46,3.47,0.53,0.516,0.561,0.5489999999999999,49.63,126.4,118.01,48.0,34.0
12,2019,13,Los Angeles Clippers,114.91,114.12,0.79,101.24,112.81,111.85,0.97,0.528,0.514,0.574,0.556,49.82,129.72,130.22,47.0,34.0
13,2019,14,Los Angeles Lakers,111.62,113.58,-1.96,102.29,108.56,110.62,-2.06,0.526,0.516,0.5539999999999999,0.552,49.76,126.22,129.91,36.0,45.0
14,2019,15,Memphis Grizzlies,103.54,106.13,-2.6,95.71,107.09,109.76,-2.67,0.508,0.521,0.5479999999999999,0.563,48.31,118.17,121.13,33.0,49.0
15,2019,16,Miami Heat,105.71,105.94,-0.23,97.29,108.38,108.36,0.02,0.515,0.51,0.542,0.547,51.19,120.34,118.48,39.0,43.0
16,2019,17,Milwaukee Bucks,118.12,109.26,8.87,100.98,116.39,107.62,8.78,0.55,0.503,0.583,0.532,52.36,141.02,119.38,60.0,22.0
17,2019,18,Minnesota Timberwolves,112.49,113.88,-1.38,99.44,112.26,113.75,-1.49,0.512,0.537,0.552,0.57,49.58,128.03,130.12,36.0,45.0
18,2019,19,New Orleans Pelicans,115.38,116.61,-1.22,102.56,112.08,113.29,-1.21,0.529,0.532,0.563,0.5660000000000001,50.8,133.96,134.78,33.0,48.0
19,2019,20,New York Knicks,104.57,113.78,-9.21,98.75,105.36,114.79,-9.43,0.49,0.5329999999999999,0.529,0.568,48.47,112.07,133.83,17.0,65.0
20,2019,21,Oklahoma City Thunder,114.48,111.07,3.4,102.1,111.13,107.92,3.21,0.514,0.523,0.545,0.56,51.28,128.31,125.22,49.0,33.0
21,2019,22,Orlando Magic,107.32,106.61,0.71,97.35,109.69,108.83,0.86,0.518,0.515,0.55,0.55,50.42,124.85,120.92,42.0,40.0
22,2019,23,Philadelphia 76ers,115.18,112.49,2.7,101.28,113.01,110.3,2.71,0.532,0.512,0.574,0.55,52.35,135.07,123.4,51.0,31.0
23,2019,24,Phoenix Suns,107.5,116.84,-9.34,99.82,106.62,116.01,-9.39,0.514,0.545,0.552,0.5820000000000001,46.12,118.37,136.22,19.0,63.0
24,2019,25,Portland Trailblazers,114.66,110.46,4.2,98.93,114.88,111.06,3.82,0.528,0.516,0.569,0.552,52.82,131.44,122.92,53.0,29.0
25,2019,26,Sacramento Kings,114.05,115.24,-1.19,102.55,110.93,111.91,-0.98,0.524,0.532,0.5529999999999999,0.568,48.63,128.51,131.3,38.0,43.0
26,2019,27,San Antonio Spurs,111.66,109.98,1.68,97.52,113.78,111.79,1.99,0.534,0.528,0.5720000000000001,0.5579999999999999,50.46,130.04,125.0,48.0,34.0
27,2019,28,Toronto Raptors,114.44,108.35,6.09,99.43,113.94,108.09,5.85,0.5429999999999999,0.509,0.579,0.545,50.24,134.16,120.82,58.0,24.0
28,2019,29,Utah Jazz,111.72,106.46,5.26,99.34,112.03,106.39,5.65,0.5379999999999999,0.507,0.5720000000000001,0.542,52.12,130.6,116.34,50.0,32.0
29,2019,30,Washington Wizards,114.12,116.84,-2.72,100.77,111.82,114.55,-2.73,0.532,0.546,0.5670000000000001,0.58,47.27,128.77,135.12,32.0,49.0
30,2018,1,Atlanta Hawks,103.35,108.81,-5.45,97.32,106.07,111.69,-5.62,0.512,0.536,0.547,0.568,48.64,114.29,127.88,24.0,58.0
31,2018,2,Brooklyn Nets,106.6,110.34,-3.74,98.06,107.75,111.66,-3.91,0.514,0.517,0.551,0.5529999999999999,48.7,117.81,126.76,28.0,54.0
32,2018,3,Boston Celtics,104.01,100.43,3.59,95.37,108.37,104.81,3.56,0.518,0.495,0.552,0.532,50.35,118.01,110.95,55.0,27.0
33,2018,4,Charlotte Hornets,108.22,107.96,0.26,97.42,110.52,110.36,0.17,0.508,0.5329999999999999,0.5489999999999999,0.564,50.97,119.81,124.48,36.0,46.0
34,2018,5,Chicago Bulls,102.93,109.96,-7.04,97.4,104.74,112.07,-7.33,0.49700000000000005,0.542,0.529,0.575,49.47,114.06,130.76,27.0,55.0
35,2018,6,Cleveland Cavaliers,110.87,109.93,0.94,97.44,113.5,112.62,0.88,0.547,0.54,0.583,0.568,49.11,124.45,126.99,50.0,32.0
36,2018,7,Dallas Mavericks,102.31,105.34,-3.04,95.04,106.96,110.35,-3.39,0.513,0.532,0.544,0.5660000000000001,47.41,113.09,123.27,24.0,58.0
37,2018,8,Denver Nuggets,110.0,108.52,1.48,96.12,113.29,111.59,1.7,0.536,0.539,0.57,0.5670000000000001,51.68,126.7,123.5,46.0,36.0
38,2018,9,Detroit Pistons,103.76,103.89,-0.13,95.43,108.04,108.33,-0.29,0.512,0.524,0.542,0.555,49.99,116.15,120.43,39.0,43.0
39,2018,10,Golden State Warriors,110.5,104.87,5.63,97.29,113.35,106.9,6.45,0.57,0.505,0.604,0.54,50.62,137.05,114.6,58.0,24.0
40,2018,11,Houston Rockets,112.35,103.87,8.49,96.77,115.67,107.15,8.52,0.551,0.521,0.59,0.551,50.83,126.4,115.2,65.0,17.0
41,2018,12,Indiana Pacers,105.56,104.18,1.38,95.34,110.3,108.76,1.54,0.525,0.527,0.557,0.5579999999999999,49.64,120.43,117.7,48.0,34.0
42,2018,13,Los Angeles Clippers,108.99,108.94,0.05,97.94,111.14,110.86,0.28,0.527,0.52,0.564,0.557,50.18,121.65,125.23,42.0,40.0
43,2018,14,Los Angeles Lakers,108.07,109.62,-1.55,99.36,107.54,109.0,-1.46,0.517,0.515,0.5479999999999999,0.5489999999999999,50.85,120.96,123.87,35.0,47.0
44,2018,15,Memphis Grizzlies,99.33,105.54,-6.21,94.15,105.37,111.84,-6.47,0.5,0.529,0.539,0.573,48.82,108.73,120.0,22.0,60.0
45,2018,16,Miami Heat,103.42,102.94,0.48,94.65,107.89,107.04,0.85,0.52,0.507,0.551,0.5479999999999999,50.19,117.52,114.39,44.0,38.0
46,2018,17,Milwaukee Bucks,106.48,106.78,-0.3,95.5,110.65,110.99,-0.35,0.531,0.528,0.5710000000000001,0.568,48.28,122.18,120.38,44.0,38.0
47,2018,18,Minnesota Timberwolves,109.51,107.27,2.24,95.44,114.02,111.81,2.21,0.523,0.539,0.5660000000000001,0.573,50.12,125.2,120.65,47.0,35.0
48,2018,19,New Orleans Pelicans,109.07,107.45,1.62,98.6,109.15,107.22,1.94,0.542,0.512,0.574,0.546,49.34,129.11,119.94,48.0,34.0
49,2018,20,New York Knicks,104.46,108.01,-3.55,96.24,107.72,111.37,-3.65,0.51,0.522,0.544,0.5589999999999999,50.5,118.35,123.02,29.0,53.0
50,2018,21,Oklahoma City Thunder,107.83,104.39,3.44,96.0,111.47,108.12,3.35,0.514,0.525,0.546,0.56,51.64,119.79,116.62,48.0,34.0
51,2018,22,Orlando Magic,103.4,108.22,-4.82,97.27,106.04,110.95,-4.91,0.512,0.524,0.545,0.5579999999999999,47.62,114.99,126.17,25.0,57.0
52,2018,23,Philadelphia 76ers,109.79,105.31,4.49,99.12,110.21,105.64,4.57,0.535,0.49200000000000005,0.568,0.532,52.93,130.46,112.98,52.0,30.0
53,2018,24,Phoenix Suns,103.9,113.28,-9.38,99.48,104.31,113.91,-9.6,0.495,0.532,0.532,0.569,49.03,110.82,131.39,21.0,61.0
54,2018,25,Portland Trailblazers,105.61,103.02,2.59,95.75,109.89,107.45,2.43,0.511,0.503,0.5489999999999999,0.539,51.45,117.82,113.23,49.0,33.0
55,2018,26,Sacramento Kings,98.81,105.82,-7.01,94.17,104.53,111.98,-7.45,0.502,0.542,0.529,0.5760000000000001,48.33,108.27,123.31,27.0,55.0
56,2018,27,San Antonio Spurs,102.73,99.84,2.89,94.42,108.53,105.68,2.85,0.507,0.507,0.5429999999999999,0.539,50.95,119.23,111.39,47.0,35.0
57,2018,28,Toronto Raptors,111.65,103.88,7.77,96.62,114.68,106.82,7.86,0.539,0.501,0.575,0.541,50.91,130.29,113.73,59.0,23.0
58,2018,29,Utah Jazz,104.13,99.84,4.29,95.05,109.14,104.35,4.79,0.527,0.506,0.564,0.5429999999999999,50.96,120.06,109.38,48.0,34.0
59,2018,30,Washington Wizards,106.61,106.0,0.61,96.18,109.87,109.32,0.55,0.525,0.522,0.56,0.56,50.33,122.37,117.88,43.0,39.0
60,2017,1,Atlanta Hawks,103.16,104.01,-0.85,96.71,105.59,106.72,-1.13,0.504,0.507,0.541,0.541,50.26,115.88,117.63,43.0,39.0
61,2017,2,Brooklyn Nets,105.77,112.5,-6.73,100.47,104.87,111.52,-6.65,0.507,0.513,0.551,0.552,48.21,114.5,130.0,20.0,62.0
62,2017,3,Boston Celtics,108.01,105.38,2.63,95.96,112.13,109.46,2.67,0.525,0.503,0.5670000000000001,0.545,48.52,123.31,118.92,53.0,29.0
63,2017,4,Charlotte Hornets,104.89,104.7,0.2,94.66,109.97,109.71,0.26,0.501,0.523,0.547,0.5539999999999999,49.54,120.23,122.16,36.0,46.0
64,2017,5,Chicago Bulls,102.87,102.44,0.43,94.99,107.74,107.5,0.24,0.48700000000000004,0.507,0.53,0.54,51.74,118.38,116.84,41.0,41.0
65,2017,6,Cleveland Cavaliers,110.34,107.16,3.18,95.41,114.49,110.89,3.6,0.547,0.516,0.58,0.5489999999999999,49.73,123.27,122.85,51.0,31.0
66,2017,7,Dallas Mavericks,97.92,100.84,-2.93,91.85,106.06,109.39,-3.33,0.505,0.529,0.541,0.568,46.43,107.49,114.98,33.0,49.0
67,2017,8,Denver Nuggets,111.72,111.21,0.51,97.59,114.04,113.63,0.41,0.53,0.532,0.568,0.5670000000000001,53.2,127.81,126.76,40.0,42.0
68,2017,9,Detroit Pistons,101.33,102.45,-1.12,94.17,106.92,107.91,-0.99,0.49200000000000005,0.516,0.521,0.5539999999999999,51.58,113.17,117.98,37.0,45.0
69,2017,10,Golden State Warriors,115.89,104.26,11.63,98.97,116.5,104.7,11.8,0.563,0.486,0.597,0.525,50.53,143.83,112.17,67.0,15.0
70,2017,11,Houston Rockets,115.34,109.57,5.77,99.34,115.53,109.9,5.63,0.545,0.519,0.583,0.556,50.17,129.79,124.28,55.0,27.0
71,2017,12,Indiana Pacers,105.1,105.32,-0.22,95.47,109.12,109.34,-0.23,0.516,0.512,0.5579999999999999,0.555,48.69,120.04,119.29,42.0,40.0
72,2017,13,Los Angeles Clippers,108.67,104.38,4.29,95.55,113.3,109.03,4.27,0.537,0.506,0.574,0.546,49.94,123.22,116.06,51.0,31.0
73,2017,14,Los Angeles Lakers,104.57,111.45,-6.88,98.01,106.56,113.57,-7.01,0.501,0.542,0.537,0.5770000000000001,49.48,112.99,131.34,26.0,56.0
74,2017,15,Memphis Grizzlies,100.48,99.99,0.49,91.6,108.45,107.7,0.75,0.491,0.506,0.535,0.552,50.39,112.0,109.96,43.0,39.0
75,2017,16,Miami Heat,103.17,102.11,1.06,94.2,108.97,107.51,1.45,0.512,0.496,0.541,0.54,50.02,115.22,112.5,41.0,41.0
76,2017,17,Milwaukee Bucks,103.62,103.81,-0.18,93.77,109.95,109.89,0.06,0.527,0.518,0.565,0.557,48.76,120.0,118.11,42.0,40.0
77,2017,18,Minnesota Timberwolves,105.57,106.68,-1.11,94.16,111.42,112.34,-0.93,0.511,0.535,0.555,0.5710000000000001,51.21,120.89,120.11,31.0,51.0
78,2017,19,New Orleans Pelicans,104.34,106.44,-2.1,97.23,106.1,108.17,-2.07,0.504,0.509,0.539,0.542,47.48,118.4,122.5,34.0,48.0
79,2017,20,New York Knicks,104.34,108.01,-3.67,95.6,108.18,112.17,-3.99,0.496,0.511,0.534,0.551,50.26,117.37,121.12,31.0,51.0
80,2017,21,Oklahoma City Thunder,106.6,105.84,0.76,97.1,109.09,108.6,0.49,0.5,0.511,0.54,0.551,53.42,117.95,116.87,47.0,35.0
81,2017,22,Orlando Magic,101.07,107.65,-6.57,95.67,104.98,111.58,-6.6,0.489,0.523,0.524,0.5589999999999999,48.68,111.39,125.68,29.0,53.0
82,2017,23,Philadelphia 76ers,102.44,108.13,-5.7,97.96,103.78,109.65,-5.87,0.501,0.512,0.539,0.555,48.78,113.99,123.05,28.0,54.0
83,2017,24,Phoenix Suns,107.7,113.33,-5.63,99.62,107.29,112.96,-5.67,0.493,0.525,0.5379999999999999,0.5720000000000001,50.52,115.84,126.15,24.0,58.0
84,2017,25,Portland Trailblazers,107.94,108.46,-0.52,96.18,110.82,111.58,-0.76,0.52,0.508,0.5589999999999999,0.5539999999999999,49.81,119.83,120.92,41.0,41.0
85,2017,26,Sacramento Kings,102.81,106.68,-3.88,94.19,108.05,112.1,-4.05,0.516,0.528,0.556,0.568,48.92,114.34,123.34,32.0,50.0
86,2017,27,San Antonio Spurs,105.33,98.13,7.2,93.5,111.94,104.07,7.86,0.524,0.49200000000000005,0.564,0.53,51.41,125.16,107.55,61.0,21.0
87,2017,28,Toronto Raptors,106.85,102.65,4.21,94.28,112.77,108.5,4.27,0.517,0.507,0.561,0.55,50.69,119.68,113.0,51.0,31.0
88,2017,29,Utah Jazz,100.71,96.77,3.94,90.36,111.03,106.63,4.4,0.526,0.493,0.563,0.531,51.82,114.61,103.94,51.0,31.0
89,2017,30,Washington Wizards,109.18,107.38,1.81,96.76,111.84,110.13,1.71,0.528,0.524,0.564,0.561,49.89,124.5,119.01,49.0,33.0
90,2016,1,Atlanta Hawks,102.63,99.1,3.54,96.52,105.53,102.15,3.38,0.516,0.48,0.552,0.518,47.5,120.71,111.39,48.0,34.0
91,2016,2,Brooklyn Nets,98.65,106.0,-7.35,94.83,103.63,111.11,-7.48,0.491,0.534,0.527,0.565,49.42,109.54,125.33,21.0,61.0
92,2016,3,Boston Celtics,105.72,102.51,3.21,98.18,107.13,104.04,3.1,0.488,0.48700000000000004,0.531,0.531,49.4,119.73,112.77,48.0,34.0
93,2016,4,Charlotte Hornets,103.4,100.68,2.72,95.02,107.86,105.21,2.65,0.502,0.496,0.545,0.534,49.6,117.4,115.57,48.0,34.0
94,2016,5,Chicago Bulls,101.65,103.12,-1.48,95.45,105.29,106.94,-1.65,0.48700000000000004,0.485,0.526,0.52,50.2,115.89,118.18,42.0,40.0
